City_Id,City,Cloudiness,Country,Date,Humidity,Lat,lng,Max Temp,Wind Speed
3374333,Praia,0,CV,1612043297,60,14.9215,-23.5087,73.4,13.8
2258261,Dolisie,97,CG,1612043297,92,-4.1997,12.6739,72.07,1.86
3663684,Lábrea,99,BR,1612043298,88,-7.2586,-64.7981,81.34,1.59
5915327,Cap-aux-Meules,100,CA,1612043298,86,47.3821,-61.8597,24.8,23.02
4513583,Hamilton,100,US,1612043023,58,39.1834,-84.5333,36.0,7.74
2154826,Wonthaggi,100,AU,1612043298,73,-38.6044,145.5913,64.0,6.33
3868633,Vallenar,0,CL,1612043299,28,-28.5708,-70.7581,81.95,9.01
3652764,Puerto Ayora,0,EC,1612043276,62,-0.7393,-90.3518,86.0,13.8
72181,Marzuq,0,YE,1612043300,55,14.4,46.4667,60.1,0.96
5110365,Broome,1,US,1612043300,63,42.2506,-75.833,19.4,11.5
5379524,Orange,20,US,1612043166,48,33.7,-117.7675,62.6,5.75
1714733,Dingle,100,PH,1612043296,90,10.9995,122.6711,71.4,9.75
3911409,Llallagua,53,BO,1612043301,36,-18.4167,-66.6333,56.14,8.52
2522325,Agüimes,20,ES,1612043302,77,27.9054,-15.4461,64.0,20.71
3115824,Muros,99,ES,1612043292,73,42.7762,-9.0603,55.99,5.01
1626703,Soe,100,ID,1612043302,100,-9.8607,124.284,67.96,8.86
2064735,Nhulunbuy,40,AU,1612043303,89,-12.2333,136.7667,80.6,9.22
1024552,Xai-Xai,0,MZ,1612043273,89,-25.0519,33.6442,76.66,5.91
5960971,Gibsons,100,CA,1612043304,93,49.3997,-123.5027,43.0,4.61
1855540,Naze,75,JP,1612043304,58,28.3667,129.4833,55.4,6.91
290030,Doha,0,QA,1612043036,63,25.2867,51.5333,66.2,12.66
2121385,Severo-Kuril'sk,98,RU,1612043295,95,50.6789,156.125,24.76,29.53
923058,Kambove,100,CD,1612043305,93,-10.8764,26.5969,62.26,1.92
2094342,Kavieng,99,PG,1612043295,74,-2.5744,150.7967,82.92,14.07
3935102,Mazamari,97,PE,1612043306,66,-11.3258,-74.5308,77.85,1.25
3471196,Bagé,90,BR,1612043306,100,-31.3314,-54.1069,66.2,17.27
1071296,Antalaha,15,MG,1612043306,87,-14.9003,50.2788,76.33,4.38
964432,Port Alfred,38,ZA,1612043299,91,-33.5906,26.891,64.0,3.24
2239862,Malanje,100,AO,1612043307,95,-9.5402,16.341,64.51,5.03
1735902,Sibu,40,MY,1612043307,100,2.3,111.8167,75.2,2.3
2123979,Kuril'sk,100,RU,1612043308,95,45.2333,147.8833,19.8,18.9
10722858,Forsytheganj,100,BY,1612043308,98,52.6333,29.7333,23.7,4.14
5972291,Havre-St-Pierre,90,CA,1612043308,86,50.2334,-63.5986,21.2,11.5
2022463,Khilok,100,RU,1612043308,89,51.3674,110.4676,-6.05,3.38
5557293,Sitka,90,US,1612043108,52,57.0531,-135.33,41.0,11.5
2738381,Lata,37,PT,1612043307,86,40.1629,-8.3327,55.99,4.0
3347762,Lubango,79,AO,1612043297,79,-14.9172,13.4925,62.37,2.86
5983720,Iqaluit,20,CA,1612043294,77,63.7506,-68.5145,-9.0,14.97
3394023,Natal,40,BR,1612043310,74,-5.795,-35.2094,82.4,12.66
4021858,Guerrero Negro,65,MX,1612043295,51,27.9769,-114.0611,64.06,17.6
540761,Kropotkin,28,RU,1612043311,85,45.4375,40.5756,36.54,9.35
2122090,Pevek,2,RU,1612043303,84,69.7008,170.3133,-33.32,2.39
1862555,Hirado,0,JP,1612043311,93,33.3597,129.5531,39.2,4.61
6825489,Jōetsu,100,JP,1612043049,86,37.1483,138.2364,30.99,15.43
2127060,Arman',31,RU,1612043312,77,59.7,150.1667,-15.68,16.13
1257638,Salāya,0,IN,1612043312,48,22.3167,69.6,64.99,7.52
3579925,St. George's,20,GD,1612043313,65,12.0564,-61.7485,84.2,14.97
1854186,Ōmachi,35,JP,1612043313,86,36.5,137.8667,36.0,4.74
3448455,São Miguel do Araguaia,36,BR,1612043313,76,-13.275,-50.1628,78.37,3.87
2413419,Gunjur,0,GM,1612043314,60,13.2019,-16.7339,73.4,10.36
491029,Solginskiy,100,RU,1612043314,97,61.05,41.3428,17.64,7.27
1490256,Talnakh,0,RU,1612043314,71,69.4865,88.3972,-31.32,6.53
4218882,Rincon,75,US,1612043315,54,32.296,-81.2354,55.4,12.66
1275016,Byādgi,33,IN,1612043315,46,14.6833,75.4833,67.96,7.78
2027044,Batagay,85,RU,1612043316,76,67.6333,134.6333,-48.03,1.19
924732,Nkhata Bay,100,MW,1612043316,78,-11.6066,34.2907,74.88,4.27
195821,Kabarnet,0,KE,1612043316,62,0.4919,35.743,57.2,2.3
3530103,San Miguel de Cozumel,75,MX,1612043186,61,20.5083,-86.9458,79.0,13.8
